method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Richness-Angular,comm_limited,3,3000,,,,1,0.0,0.248256,2281.0,75.989474,,original,5.0,0.05,3,,526,525,,0.767708,0.0,0.897336,775,0.999895,39.183829,,0.012313,0.35685,0.0,0.0,0.0,,68.980908
Richness-Angular,comm_limited,0,0,,,,1,0.0,0.288764,2670.0,71.894737,,original,5.0,0.05,3,,473,473,,0.779271,0.0,0.907694,600,0.997789,40.060627,,0.014019,0.369853,0.000211,0.0,0.0,,71.004437
Richness-Angular,comm_limited,1,1000,,,,1,0.0,0.248568,2284.0,75.957895,,original,5.0,0.05,3,,693,539,,0.79,0.0,0.863405,700,0.991368,40.718561,,0.018368,0.388121,0.005368,0.0,0.0,,79.919041
Richness-Angular,comm_limited,2,2000,,,,1,0.0,0.270332,2493.0,73.757895,,original,5.0,0.05,3,,1075,830,,0.799687,0.0,0.883141,550,0.994842,38.172747,,0.017745,0.392526,0.003684,0.0,0.0,,87.869259
Richness-Angular,comm_limited,4,4000,,,,1,0.0,0.356035,2830.321782,65.094737,,original,5.0,0.05,3,,586,581,,0.799583,0.0,0.874383,1175,0.992421,35.962173,,0.021099,0.376381,0.003263,0.0,0.0,,108.067409
Richness-Angular,comm_limited,5,5000,,,,1,0.0,0.258773,2382.0,74.926316,,original,5.0,0.05,3,,377,377,,0.767708,0.0,0.899886,600,0.997474,39.808255,,0.015817,0.359475,0.000842,0.0,0.0,,110.509992
Richness-Angular,comm_limited,6,6000,,,,1,0.0,0.293867,2719.0,71.378947,,original,5.0,0.05,3,,760,733,,0.809688,0.0,0.872722,1375,0.998105,41.346638,,0.018624,0.384912,0.0,0.0,0.0,,113.941851
Richness-Angular,comm_limited,7,7000,,,,1,0.0,0.312715,2900.0,69.473684,,original,5.0,0.05,3,,355,355,,0.802813,0.0,0.778125,1725,0.996632,37.279738,,0.022157,0.385148,0.0,0.0,0.0,,108.070305
Richness-Angular,comm_limited,9,9000,,,,1,0.0,0.261481,2408.0,74.652632,,original,5.0,0.05,3,,146,145,,0.767813,0.0,0.86915,800,0.999368,39.779863,,0.013372,0.36927,0.0,0.0,0.0,,99.678668
Richness-Angular,comm_limited,8,8000,,,,1,0.0,0.288764,2670.0,71.894737,,original,5.0,0.05,3,,467,467,,0.782604,0.0,0.865912,1750,0.993789,38.256946,,0.017298,0.378776,0.002632,0.0,0.0,,110.707799
Richness-Angular,comm_limited,10,10000,,,,1,0.0,0.252317,2320.0,75.578947,,original,5.0,0.05,3,,234,234,,0.802083,0.0,0.897867,825,0.997579,39.832331,,0.015562,0.367177,0.0,0.0,0.0,,103.138136
Richness-Angular,comm_limited,11,11000,,,,1,0.0,0.192752,1748.0,81.6,,original,5.0,0.05,3,,610,610,,0.811667,0.0,0.888184,975,0.999789,42.521104,,0.012563,0.380258,0.000211,0.0,0.0,,112.604513
Richness-Angular,comm_limited,13,13000,,,,1,0.0,0.31334,2906.0,69.410526,,original,5.0,0.05,3,,187,187,,0.803333,0.0,0.878367,625,0.995158,36.141189,,0.016438,0.372971,0.003579,0.0,0.0,,103.441448
