method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Hybrid,comm_limited,1,1000,,,,1,0.0,0.304185,2816.0,70.357895,,original,5.0,0.05,6,,657,501,,0.772708,0.0,0.911174,300,0.996737,39.998322,,0.015367,0.387334,0.000632,0.0,0.0,0.0,32.316482
Hybrid,comm_limited,3,3000,,,,1,0.0,0.330731,3071.0,67.673684,,original,5.0,0.05,6,,871,671,,0.773229,0.0,0.885489,500,0.99,38.625964,,0.019269,0.376082,0.004421,0.0,0.0,0.0,32.612224
Hybrid,comm_limited,2,2000,,,,1,0.0,0.386737,3609.0,62.010526,,original,5.0,0.05,6,,978,709,,0.740833,0.0,0.891859,400,0.995789,34.87503,,0.018926,0.375261,0.0,0.0,0.0,0.0,32.614169
Hybrid,comm_limited,0,0,,,,1,0.0,0.302207,2797.0,70.557895,,original,5.0,0.05,6,,1219,712,,0.714271,0.0,0.89601,375,0.999579,37.590135,,0.014164,0.34286,0.0,0.0,0.0,0.0,36.439599
Hybrid,comm_limited,4,4000,,,,1,0.0,0.271601,2503.0,73.652632,,original,5.0,0.05,6,,678,530,,0.697604,0.0,0.881623,550,0.999789,38.597062,,0.013811,0.337075,0.0,0.0,0.0,0.0,34.421781
Hybrid,comm_limited,5,5000,,,,1,0.0,0.343743,3196.0,66.357895,,original,5.0,0.05,6,,875,696,,0.704375,0.0,0.875142,550,0.991053,34.371553,,0.017709,0.351749,0.004105,0.0,0.0,0.0,34.913485
Hybrid,comm_limited,7,7000,,,,1,0.0,0.342911,3188.0,66.442105,,original,5.0,0.05,6,,771,601,,0.770521,0.0,0.87502,475,0.996421,38.022368,,0.02208,0.387518,0.000947,0.0,0.0,0.0,35.40942
Hybrid,comm_limited,6,6000,,,,1,0.0,0.285759,2639.0,72.221053,,original,5.0,0.05,6,,1503,902,,0.781354,0.0,0.836951,825,0.966421,37.251911,,0.020383,0.365475,0.026421,0.0,0.0,0.0,40.749134
Hybrid,comm_limited,9,9000,,,,1,0.0,0.429836,2223.509484,57.652632,,original,5.0,0.05,6,,862,691,,0.746667,0.0,0.776428,1425,0.966421,32.306062,,0.024699,0.364558,0.021158,0.0,0.0,0.0,35.554581
Hybrid,comm_limited,8,8000,,,,1,0.0,0.352592,3281.0,65.463158,,original,5.0,0.05,6,,1315,942,,0.808438,0.0,0.837561,625,0.994526,37.881918,,0.018412,0.389194,0.0,0.0,0.0,0.0,39.043901
Hybrid,comm_limited,10,10000,,,,1,0.0,0.295544,2733.0,71.231579,,original,5.0,0.05,6,,863,574,,0.710313,0.0,0.872639,450,0.996316,37.650997,,0.014961,0.338453,0.003263,0.0,0.0,0.0,36.049032
Hybrid,comm_limited,11,11000,,,,1,0.0,0.374245,3049.030175,63.273684,,original,5.0,0.05,6,,1014,733,,0.752083,0.0,0.907951,375,0.996105,37.072931,,0.017536,0.372349,0.001474,0.0,0.0,0.0,36.972692
Hybrid,comm_limited,14,14000,,,,1,0.0,0.344472,3203.0,66.284211,,original,5.0,0.05,6,,685,555,,0.721042,0.0,0.905056,325,0.997263,36.506128,,0.015227,0.345204,0.0,0.0,0.0,0.0,35.734237
Hybrid,comm_limited,12,12000,,,,1,0.0,0.238705,2187.0,76.978947,,original,5.0,0.05,6,,1604,1085,,0.768021,0.0,0.87053,550,0.999474,39.723188,,0.014203,0.354982,0.0,0.0,0.0,0.0,40.527866
Hybrid,comm_limited,15,15000,,,,1,0.0,0.30127,2788.0,70.652632,,original,5.0,0.05,6,,887,614,,0.764583,0.0,0.854043,550,0.998105,36.054,,0.019025,0.374653,0.0,0.0,0.0,0.0,36.025603
Hybrid,comm_limited,13,13000,,,,1,0.0,0.334374,3106.0,67.305263,,original,5.0,0.05,6,,1405,750,,0.748542,0.0,0.90722,350,0.996526,35.892296,,0.018321,0.368059,0.0,0.0,0.0,0.0,42.276618
Hybrid,comm_limited,17,17000,,,,1,0.0,0.334791,3110.0,67.263158,,original,5.0,0.05,6,,957,584,,0.803854,0.0,0.849096,975,0.993789,38.481763,,0.018886,0.390386,0.003474,0.0,0.0,0.0,37.335398
Hybrid,comm_limited,16,16000,,,,1,0.0,0.386009,2050.230891,62.084211,,original,5.0,0.05,6,,699,616,,0.716042,0.0,0.886451,425,0.996947,36.139145,,0.017526,0.338455,0.000421,0.0,0.0,0.0,37.522539
Hybrid,comm_limited,18,18000,,,,1,0.0,0.355195,3306.0,65.2,,original,5.0,0.05,6,,816,654,,0.732396,0.0,0.857243,750,0.992632,33.380928,,0.019076,0.361371,0.001789,0.0,0.0,0.0,37.600321
