regime,run,step,agent,n_known,gap_frac,rho_count,rho_bound,precision,recall,u_local
A6_obs020,0,2500,5,7798.0,0.00025,0.357184,-0.190128,0.021739,1.0,35.777778
A6_obs020,0,4500,0,8000.0,0.0,0.894483,-0.04269,0.0,0.0,1.0
A6_obs020,0,4500,1,8000.0,0.0,0.894483,-0.04269,0.0,0.0,1.0
A6_obs020,0,4500,2,8000.0,0.0,0.894483,-0.04269,0.0,0.0,1.0
A6_obs020,0,4500,3,8000.0,0.0,0.894483,-0.04269,0.0,0.0,1.0
A6_obs020,0,4500,4,8000.0,0.0,0.894483,-0.04269,0.0,0.0,1.0
A6_obs020,0,4500,5,8000.0,0.0,0.894483,-0.04269,0.0,0.0,1.0
A6_obs020,1,1000,0,7676.0,0.044375,0.876013,-0.649991,0.328467,0.126761,52.632768
A6_obs020,1,1000,1,7627.0,0.044375,0.823834,-0.600815,0.269461,0.126761,70.005051
A6_obs020,1,1000,2,7627.0,0.044375,0.820621,-0.595373,0.269461,0.126761,70.005051
A6_obs020,1,1000,3,7627.0,0.044375,0.812687,-0.57686,0.269461,0.126761,70.005051
A6_obs020,1,1000,4,7676.0,0.044375,0.874311,-0.65047,0.321429,0.126761,55.284091
A6_obs020,1,1000,5,4020.0,0.044375,0.286172,-0.443915,0.010417,0.005634,70.795367
A6_obs020,1,2500,0,7942.0,0.008875,0.958786,-0.348422,0.351351,0.183099,22.2
A6_obs020,1,2500,1,7942.0,0.008875,0.951983,-0.350857,0.351351,0.183099,22.2
A6_obs020,1,2500,2,7761.0,0.008875,0.47856,-0.418102,0.16,0.112676,15.909091
A6_obs020,1,2500,3,7682.0,0.008875,0.337306,-0.449606,0.072727,0.112676,41.061644
A6_obs020,1,2500,4,7942.0,0.008875,0.779817,-0.380744,0.351351,0.183099,20.8125
A6_obs020,1,2500,5,7942.0,0.008875,0.951983,-0.350857,0.351351,0.183099,22.2
A6_obs020,1,4500,0,8000.0,0.0,1.0,-0.025495,0.0,0.0,1.0
A6_obs020,1,4500,1,8000.0,0.0,1.0,-0.025495,0.0,0.0,1.0
A6_obs020,1,4500,2,8000.0,0.0,1.0,-0.025495,0.0,0.0,1.0
A6_obs020,1,4500,3,8000.0,0.0,1.0,-0.025495,0.0,0.0,1.0
A6_obs020,1,4500,4,8000.0,0.0,1.0,-0.025495,0.0,0.0,1.0
A6_obs020,1,4500,5,8000.0,0.0,1.0,-0.025495,0.0,0.0,1.0
A6_obs020,2,1000,0,7512.0,0.024375,0.703324,-0.51161,0.208511,0.251282,83.571429
A6_obs020,2,1000,1,7512.0,0.024375,0.694987,-0.504162,0.208511,0.251282,82.816265
A6_obs020,2,1000,2,5910.0,0.024375,0.618639,-0.609535,0.092409,0.14359,139.066869
A6_obs020,2,1000,3,7762.0,0.024375,0.737093,-0.46982,0.322368,0.251282,40.985714
A6_obs020,2,1000,4,5910.0,0.024375,0.619175,-0.609078,0.092409,0.14359,139.066869
A6_obs020,2,1000,5,5911.0,0.024375,0.61622,-0.609927,0.092105,0.14359,140.414634
A6_obs020,2,2500,0,7891.0,0.000875,0.565759,-0.367518,0.166667,0.857143,10.677966
A6_obs020,2,2500,1,7891.0,0.000875,0.567909,-0.360157,0.166667,0.857143,10.862069
A6_obs020,2,2500,2,7984.0,0.000875,0.588244,-0.457242,0.142857,0.857143,10.62963
A6_obs020,2,2500,3,7984.0,0.000875,0.583318,-0.452156,0.166667,0.857143,9.0
A6_obs020,2,2500,4,7983.0,0.000875,0.583555,-0.46434,0.139535,0.857143,10.5
A6_obs020,2,2500,5,7983.0,0.000875,0.583555,-0.46434,0.139535,0.857143,10.5
A6_obs020,2,4500,0,8000.0,0.0,1.0,-0.036609,0.0,0.0,1.0
A6_obs020,2,4500,1,8000.0,0.0,1.0,-0.036609,0.0,0.0,1.0
A6_obs020,2,4500,2,8000.0,0.0,1.0,-0.036609,0.0,0.0,1.0
A6_obs020,2,4500,3,8000.0,0.0,1.0,-0.036609,0.0,0.0,1.0
A6_obs020,2,4500,4,8000.0,0.0,1.0,-0.036609,0.0,0.0,1.0
A6_obs020,2,4500,5,8000.0,0.0,1.0,-0.036609,0.0,0.0,1.0
A6_obs020,3,1000,0,7838.0,0.025875,0.92632,-0.649965,0.419355,0.251208,45.939759
A6_obs020,3,1000,1,7838.0,0.025875,0.925738,-0.649487,0.419355,0.251208,45.939759
A6_obs020,3,1000,2,7838.0,0.025875,0.926723,-0.649183,0.419355,0.251208,45.939759
A6_obs020,3,1000,3,6280.0,0.025875,0.539307,-0.462746,0.095376,0.15942,191.913183
A6_obs020,3,1000,4,7838.0,0.025875,0.92632,-0.649965,0.419355,0.251208,45.939759
A6_obs020,3,1000,5,7838.0,0.025875,0.926708,-0.649644,0.419355,0.251208,45.939759
A6_obs020,3,2500,0,7971.0,0.0,0.557786,-0.308485,0.0,0.0,16.25
A6_obs020,3,2500,1,7971.0,0.0,0.581424,-0.302107,0.0,0.0,17.105263
A6_obs020,3,2500,2,7971.0,0.0,0.581424,-0.302107,0.0,0.0,17.105263
A6_obs020,3,2500,3,8000.0,0.0,0.875376,-0.227887,0.0,0.0,1.0
A6_obs020,3,2500,4,7971.0,0.0,0.581424,-0.302107,0.0,0.0,17.105263
A6_obs020,3,2500,5,8000.0,0.0,0.875376,-0.227887,0.0,0.0,1.0
A6_obs020,3,4500,0,8000.0,0.0,0.816599,-0.038217,0.0,0.0,1.0
A6_obs020,3,4500,1,8000.0,0.0,0.436381,-0.067362,0.0,0.0,1.0
A6_obs020,3,4500,2,8000.0,0.0,0.816599,-0.038217,0.0,0.0,1.0
A6_obs020,3,4500,3,8000.0,0.0,0.816599,-0.038217,0.0,0.0,1.0
A6_obs020,3,4500,4,8000.0,0.0,0.816599,-0.038217,0.0,0.0,1.0
A6_obs020,3,4500,5,8000.0,0.0,0.816599,-0.038217,0.0,0.0,1.0
A6_obs020,4,1000,0,7594.0,0.050625,0.842614,-0.685098,0.327957,0.150617,63.253676
A6_obs020,4,1000,1,7569.0,0.050625,0.863919,-0.60894,0.316832,0.158025,94.423256
A6_obs020,4,1000,2,7562.0,0.050625,0.802703,-0.576459,0.294931,0.158025,96.842975
A6_obs020,4,1000,3,7569.0,0.050625,0.863919,-0.60894,0.316832,0.158025,94.423256
A6_obs020,4,1000,4,7618.0,0.050625,0.857968,-0.692393,0.38125,0.150617,50.27668
A6_obs020,4,1000,5,7619.0,0.050625,0.859386,-0.693783,0.388535,0.150617,50.188525
A6_obs020,4,2500,0,7789.0,0.022875,0.684121,-0.506482,0.27381,0.125683,45.272727
A6_obs020,4,2500,1,7683.0,0.022875,0.6607,-0.490537,0.283951,0.125683,51.428571
A6_obs020,4,2500,2,7789.0,0.022875,0.6821,-0.506633,0.27381,0.125683,45.272727
A6_obs020,4,2500,3,7683.0,0.022875,0.6607,-0.490537,0.283951,0.125683,51.428571
A6_obs020,4,2500,4,7635.0,0.022875,0.440543,-0.516766,0.186992,0.125683,43.877193
A6_obs020,4,2500,5,7825.0,0.022875,0.675116,-0.510623,0.425926,0.125683,24.254237
A6_obs020,4,4500,0,8000.0,0.0,1.0,-0.023319,0.0,0.0,1.0
A6_obs020,4,4500,1,8000.0,0.0,1.0,-0.023319,0.0,0.0,1.0
A6_obs020,4,4500,2,8000.0,0.0,1.0,-0.023319,0.0,0.0,1.0
A6_obs020,4,4500,3,8000.0,0.0,1.0,-0.023319,0.0,0.0,1.0
A6_obs020,4,4500,4,8000.0,0.0,1.0,-0.023319,0.0,0.0,1.0
A6_obs020,4,4500,5,8000.0,0.0,1.0,-0.023319,0.0,0.0,1.0
