regime,run,step,agent,n_known,gap_frac,rho_count,rho_bound,precision,recall,u_local
A3_obs005,0,2500,0,9334.0,0.022842,0.973749,-0.639792,0.554348,0.235023,27.539474
A3_obs005,0,2500,1,9334.0,0.022842,0.967873,-0.636141,0.554348,0.235023,27.539474
A3_obs005,0,2500,2,9334.0,0.022842,0.986693,-0.640056,0.554348,0.235023,27.539474
A3_obs005,0,4500,0,9500.0,0.0,0.344723,-0.076978,0.0,0.0,1.0
A3_obs005,0,4500,1,9500.0,0.0,0.344723,-0.076978,0.0,0.0,1.0
A3_obs005,0,4500,2,9498.0,0.0,0.092615,-0.191576,0.0,0.0,3.636364
A3_obs005,1,1000,0,8299.0,0.141263,0.932503,-0.737367,0.544715,0.099851,108.399281
A3_obs005,1,1000,1,8299.0,0.141263,0.938591,-0.742515,0.544715,0.099851,108.399281
A3_obs005,1,1000,2,8299.0,0.141263,0.952532,-0.76503,0.544715,0.099851,109.581818
A3_obs005,1,2500,0,9093.0,0.016737,0.863034,-0.619848,0.233083,0.194969,57.372549
A3_obs005,1,2500,1,8984.0,0.016737,0.848231,-0.614209,0.204724,0.163522,58.40146
A3_obs005,1,2500,2,9374.0,0.016737,0.882776,-0.555426,0.316239,0.232704,40.153846
A3_obs005,1,4500,0,9491.0,0.001368,0.796612,-0.237624,0.5,0.307692,1.647059
A3_obs005,1,4500,1,9491.0,0.001368,0.637539,-0.299329,0.5,0.307692,1.0
A3_obs005,1,4500,2,9491.0,0.001368,0.637539,-0.299329,0.5,0.307692,1.0
A3_obs005,2,1000,0,6480.0,0.337263,0.928398,-0.808415,0.550265,0.064919,208.953079
A3_obs005,2,1000,1,6303.0,0.337263,0.937837,-0.788461,0.548023,0.060549,206.890728
A3_obs005,2,1000,2,6295.0,0.337263,0.919387,-0.812209,0.534435,0.060549,201.542945
A3_obs005,2,2500,0,7389.0,0.029263,0.724542,-0.692252,0.144509,0.089928,77.489583
A3_obs005,2,2500,1,8463.0,0.029263,0.713187,-0.731077,0.125604,0.093525,67.04717
A3_obs005,2,2500,2,9239.0,0.029263,0.728856,-0.644425,0.289617,0.190647,54.779605
A3_obs005,2,4500,0,9497.0,0.000316,0.767546,-0.428444,0.142857,1.0,4.468085
A3_obs005,2,4500,1,9413.0,0.000316,0.377697,-0.4617,0.026549,1.0,33.305263
A3_obs005,2,4500,2,9497.0,0.000316,0.779843,-0.421403,0.142857,1.0,4.468085
A3_obs005,3,1000,0,8511.0,0.120211,0.949253,-0.754209,0.565056,0.1331,138.638462
A3_obs005,3,1000,1,8511.0,0.120211,0.951707,-0.751121,0.586873,0.1331,130.003891
A3_obs005,3,1000,2,8511.0,0.120211,0.949246,-0.754194,0.565056,0.1331,138.638462
A3_obs005,3,2500,0,9148.0,0.045053,0.940411,-0.626582,0.554745,0.17757,58.591195
A3_obs005,3,2500,1,9048.0,0.045053,0.760345,-0.532147,0.380711,0.175234,95.574257
A3_obs005,3,2500,2,9148.0,0.045053,0.940175,-0.626766,0.554745,0.17757,58.591195
A3_obs005,3,4500,0,9500.0,0.0,0.912274,-0.101317,0.0,0.0,1.0
A3_obs005,3,4500,1,9500.0,0.0,0.912274,-0.101317,0.0,0.0,1.0
A3_obs005,3,4500,2,9500.0,0.0,0.926404,-0.099749,0.0,0.0,1.0
A3_obs005,4,1000,0,8285.0,0.035368,0.666677,-0.597559,0.142029,0.145833,140.283688
A3_obs005,4,1000,1,9246.0,0.035368,0.965087,-0.713458,0.562963,0.22619,44.777228
A3_obs005,4,1000,2,9246.0,0.035368,0.965087,-0.713458,0.562963,0.22619,44.777228
A3_obs005,4,2500,0,9417.0,0.013053,0.946774,-0.637667,0.550725,0.306452,20.051282
A3_obs005,4,2500,1,9417.0,0.013053,0.844197,-0.604706,0.44186,0.306452,24.366667
A3_obs005,4,2500,2,9417.0,0.013053,0.947369,-0.637386,0.550725,0.306452,20.051282
A3_obs005,4,4500,0,9500.0,0.0,0.632639,-0.052,0.0,0.0,1.0
A3_obs005,4,4500,1,9500.0,0.0,0.232353,-0.082854,0.0,0.0,1.666667
A3_obs005,4,4500,2,9500.0,0.0,0.632639,-0.052,0.0,0.0,1.0
A3_obs005,5,1000,0,7853.0,0.175684,0.848641,-0.663593,0.427861,0.051528,66.336634
A3_obs005,5,1000,1,7377.0,0.175684,0.851622,-0.646768,0.457627,0.048532,59.0
A3_obs005,5,1000,2,7900.0,0.175684,0.844773,-0.615586,0.44898,0.052726,70.777778
A3_obs005,5,2500,0,8058.0,0.131368,0.749569,-0.573213,0.271318,0.028045,36.530973
A3_obs005,5,2500,1,8035.0,0.131368,0.79945,-0.613571,0.304348,0.028045,37.033898
A3_obs005,5,2500,2,8270.0,0.131368,0.856896,-0.62181,0.443548,0.044071,41.672131
A3_obs005,5,4500,0,9500.0,0.000211,0.915622,-0.2955,0.181818,1.0,2.619048
A3_obs005,5,4500,1,9481.0,0.000211,0.748124,-0.34294,0.058824,1.0,8.630769
A3_obs005,5,4500,2,9500.0,0.000211,0.914065,-0.295917,0.181818,1.0,2.619048
A3_obs005,6,1000,0,5454.0,0.076316,0.618552,-0.647446,0.105541,0.055172,181.344304
A3_obs005,6,1000,1,5713.0,0.076316,0.756164,-0.705801,0.226744,0.107586,176.634731
A3_obs005,6,1000,2,7936.0,0.076316,0.800503,-0.724394,0.288136,0.164138,191.617117
A3_obs005,6,2500,0,9368.0,0.021684,0.810498,-0.607799,0.44385,0.402913,76.951327
A3_obs005,6,2500,1,9380.0,0.021684,0.844582,-0.626648,0.48538,0.402913,67.604651
A3_obs005,6,2500,2,9372.0,0.021684,0.827806,-0.591992,0.474286,0.402913,76.125
A3_obs005,6,4500,0,9484.0,0.002421,0.878189,-0.386074,0.36,0.391304,6.521739
A3_obs005,6,4500,1,9486.0,0.002421,0.82649,-0.399804,0.25,0.391304,9.84375
A3_obs005,6,4500,2,9412.0,0.002421,0.469805,-0.46364,0.098901,0.391304,33.565574
A3_obs005,7,1000,0,7787.0,0.107053,0.858373,-0.649315,0.350467,0.073746,116.280612
A3_obs005,7,1000,1,8593.0,0.107053,0.946814,-0.700149,0.575269,0.105211,90.552632
A3_obs005,7,1000,2,8593.0,0.107053,0.946814,-0.700149,0.575269,0.105211,90.552632
A3_obs005,7,2500,0,8724.0,0.009474,0.608472,-0.382894,0.180412,0.388889,95.030457
A3_obs005,7,2500,1,9360.0,0.009474,0.783324,-0.45959,0.339806,0.388889,42.707317
A3_obs005,7,2500,2,8613.0,0.009474,0.733086,-0.527031,0.209581,0.388889,96.93007
A3_obs005,7,4500,0,9500.0,0.000316,0.958017,-0.313376,0.428571,1.0,1.615385
A3_obs005,7,4500,1,9500.0,0.000316,0.938003,-0.321336,0.428571,1.0,1.615385
A3_obs005,7,4500,2,9500.0,0.000316,0.967366,-0.309951,0.428571,1.0,1.615385
A3_obs005,8,1000,0,6883.0,0.068105,0.695568,-0.617488,0.190722,0.114374,188.165414
A3_obs005,8,1000,1,6250.0,0.068105,0.638726,-0.623294,0.211454,0.148377,217.401691
A3_obs005,8,1000,2,6822.0,0.068105,0.696393,-0.622043,0.190722,0.114374,187.226933
A3_obs005,8,2500,0,9288.0,0.012737,0.7765,-0.580977,0.28169,0.330579,50.817259
A3_obs005,8,2500,1,9288.0,0.012737,0.776596,-0.581085,0.28169,0.330579,50.817259
A3_obs005,8,2500,2,8442.0,0.012737,0.503158,-0.47772,0.068966,0.181818,147.444767
A3_obs005,8,4500,0,9477.0,0.000947,0.627903,-0.403243,0.159091,0.777778,11.0
A3_obs005,8,4500,1,9444.0,0.000947,0.649637,-0.444127,0.205128,0.888889,11.227273
A3_obs005,8,4500,2,8757.0,0.000947,0.263484,-0.596713,0.004525,0.111111,107.566372
A3_obs005,9,1000,0,8714.0,0.097895,0.975267,-0.70475,0.605042,0.154839,99.306338
