step,ambiguous_frac
0,0.00000000
1,0.03610526
2,0.03252632
3,0.02347368
4,0.02021053
5,0.02000000
6,0.02084211
7,0.02063158
8,0.02105263
9,0.02210526
10,0.02136842
11,0.02273684
12,0.02326316
13,0.02305263
14,0.02284211
15,0.02357895
16,0.02347368
17,0.02515789
18,0.02389474
19,0.02568421
20,0.02652632
21,0.02673684
22,0.02715789
23,0.02842105
24,0.02821053
25,0.02873684
26,0.02852632
27,0.02978947
28,0.02936842
29,0.02989474
30,0.03042105
31,0.03021053
32,0.03021053
33,0.03147368
34,0.03136842
35,0.03168421
36,0.03157895
37,0.03231579
38,0.03273684
39,0.03336842
40,0.03357895
41,0.03505263
42,0.03463158
43,0.03557895
44,0.03621053
45,0.03705263
46,0.03642105
47,0.03642105
48,0.03494737
49,0.03631579
50,0.03715789
51,0.03778947
52,0.03821053
53,0.03821053
54,0.03705263
55,0.03800000
56,0.03789474
57,0.03842105
58,0.03831579
59,0.03978947
60,0.03968421
61,0.04031579
62,0.04094737
63,0.04136842
64,0.04126316
65,0.04168421
66,0.04189474
67,0.04157895
68,0.04168421
69,0.04157895
70,0.04294737
71,0.04305263
72,0.04284211
73,0.04284211
74,0.04326316
75,0.04326316
76,0.04431579
77,0.04494737
78,0.04452632
79,0.04494737
80,0.04442105
81,0.04463158
82,0.04400000
83,0.04200000
84,0.04105263
85,0.04073684
86,0.04031579
87,0.03989474
88,0.03821053
89,0.03642105
90,0.03578947
91,0.03705263
92,0.03684211
93,0.03600000
94,0.03568421
95,0.03557895
96,0.03652632
97,0.03631579
98,0.03715789
99,0.03673684
100,0.03610526
101,0.03589474
102,0.03621053
103,0.03578947
104,0.03621053
105,0.03726316
106,0.03726316
107,0.03768421
108,0.03810526
109,0.03800000
110,0.03757895
111,0.03684211
112,0.03705263
113,0.03684211
114,0.03747368
115,0.03673684
116,0.03726316
117,0.03747368
118,0.03757895
119,0.03726316
120,0.03778947
121,0.03831579
122,0.03947368
123,0.04210526
124,0.04231579
125,0.04136842
126,0.04031579
127,0.04073684
128,0.04147368
129,0.04252632
130,0.04378947
131,0.04442105
132,0.04557895
133,0.04557895
134,0.04589474
135,0.04600000
136,0.04452632
137,0.04673684
138,0.04810526
139,0.04873684
140,0.04810526
141,0.04821053
142,0.04821053
143,0.04863158
144,0.04684211
145,0.04726316
146,0.04821053
147,0.04831579
148,0.04821053
149,0.04842105
150,0.04810526
151,0.04842105
152,0.04936842
153,0.04905263
154,0.05000000
155,0.05042105
156,0.05084211
157,0.05105263
158,0.05063158
159,0.05136842
160,0.05115789
161,0.05189474
162,0.05231579
163,0.05294737
164,0.05263158
165,0.05231579
166,0.05252632
167,0.05221053
168,0.05273684
169,0.05189474
170,0.05010526
171,0.05073684
172,0.05063158
173,0.05094737
174,0.05073684
175,0.05042105
176,0.05094737
177,0.05126316
178,0.05147368
179,0.05178947
180,0.05231579
181,0.05147368
182,0.05189474
183,0.05147368
184,0.05221053
185,0.05189474
186,0.05178947
187,0.05115789
188,0.05073684
189,0.05126316
190,0.05147368
191,0.05168421
192,0.05221053
193,0.05189474
194,0.05200000
195,0.05168421
196,0.05231579
197,0.05284211
198,0.05242105
199,0.05294737
200,0.05305263
201,0.05336842
202,0.05315789
203,0.05389474
204,0.05336842
205,0.05421053
206,0.05389474
207,0.05452632
208,0.05452632
209,0.05463158
210,0.05463158
211,0.05431579
212,0.05536842
213,0.05515789
214,0.05578947
215,0.05578947
216,0.05578947
217,0.05515789
218,0.05600000
219,0.05663158
220,0.05726316
221,0.05673684
