method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Richness-Angular,comm_limited,26,26000,,,,1,0.0,0.566843,111.950185,71.672568,,original,5.0,0.5,6,,300,300,maze,,0.525825,0.0,0.108273,,0.191835,40.954927,,0.013593,0.0,0.256821,0.0,0.0,,64.153035
Richness-Angular,comm_limited,27,27000,,,,1,0.0,0.558409,113.61651,73.068111,,original,5.0,0.5,6,,151,148,maze,,0.497229,0.0,0.115983,,0.198084,43.162887,,0.013816,0.0,0.220371,0.0,0.0,,64.179641
Richness-Angular,comm_limited,28,28000,,,,1,0.0,0.548716,158.926785,74.671943,,original,5.0,0.5,6,,196,196,maze,,0.488536,0.0,0.111842,,0.194751,43.64648,,0.01389,0.0,0.201833,0.0,0.0,,63.573328
Richness-Angular,comm_limited,29,29000,,,,1,0.0,0.563318,109.11943,72.25578,,original,5.0,0.5,6,,300,301,maze,,0.53036,0.0,0.104584,,0.188086,40.397676,,0.013469,0.0,0.247657,0.0,0.0,,66.998312
Richness-Angular,comm_limited,30,30000,,,,1,0.0,0.561682,128.476815,72.526557,,original,5.0,0.5,6,,872,515,maze,,0.559209,0.0,0.10633,,0.194335,39.928977,,0.013776,0.0,0.249948,0.0,0.0,,70.259898
Richness-Angular,comm_limited,31,31000,,,,1,0.0,0.516113,155.493249,80.066653,,original,5.0,0.5,6,,421,383,maze,,0.537289,0.0,0.114662,,0.210581,43.558527,,0.014167,0.0,0.163299,0.0,0.0,,65.79431
Richness-Angular,comm_limited,32,32000,,,,1,0.0,0.587236,141.068357,68.298271,,original,5.0,0.5,6,,206,206,maze,,0.50844,0.00252,0.101469,,0.179963,38.303426,,0.013512,0.0,0.272235,0.0,0.0,,66.826245
Richness-Angular,comm_limited,34,34000,,,,1,0.0,0.591893,128.002839,67.527598,,original,5.0,0.5,6,,483,446,maze,,0.523936,0.0,0.099158,,0.17663,37.551905,,0.013255,0.0,0.284316,0.0,0.0,,68.1145
Richness-Angular,comm_limited,33,33000,,,,1,0.0,0.623489,128.031338,62.299521,,original,5.0,0.5,6,,1847,784,maze,,0.573318,0.0,0.092967,,0.159758,36.09253,,0.012962,0.0,0.346386,0.0,0.0,,71.956737
Richness-Angular,comm_limited,35,35000,,,,1,0.0,0.656722,115.765689,56.800667,,original,5.0,0.5,6,,3518,905,maze,,0.62648,0.0,0.078998,,0.149969,30.315152,,0.012666,0.0,0.412831,0.0,0.0,,85.163389
Richness-Angular,comm_limited,36,36000,,,,1,0.0,0.585977,87.440456,68.506561,,original,5.0,0.5,6,,356,336,maze,,0.512724,0.0,0.09912,,0.181837,37.915216,,0.01328,0.0,0.291814,0.0,0.0,,64.128174
Richness-Angular,comm_limited,37,37000,,,,1,0.0,0.619461,82.83367,62.966049,,original,5.0,0.5,6,,525,470,maze,,0.531368,0.0,0.095785,,0.161633,37.184784,,0.012915,0.0,0.348052,0.0,0.0,,68.044852
Richness-Angular,comm_limited,38,38000,,,,1,0.0,0.576913,211.082289,70.006249,,original,5.0,0.5,6,,2169,779,maze,,0.592089,0.0,0.101111,,0.181837,40.073119,,0.013878,0.0,0.25828,0.0,0.0,,77.70139
Richness-Angular,comm_limited,39,39000,,,,1,0.0,0.611279,109.440447,64.319933,,original,5.0,0.5,6,,2225,867,maze,,0.603301,0.0,0.094666,,0.163091,37.395963,,0.013155,0.0,0.335555,0.0,0.0,,70.725131
