method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,maze_loop_density,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Coverage-U,comm_limited,3,3000,,,,1,0.0,0.373204,3479.0,63.378947,,original,5.0,0.05,6,,686,592,random,0.0,,0.820104,0.0,0.824028,1500,0.930105,33.917043,,0.026091,0.07987,0.059263,0.0,0.0,,28.218102
Coverage-U,comm_limited,2,2000,,,,1,0.0,0.339371,3154.0,66.8,,original,5.0,0.05,6,,902,750,random,0.0,,0.732396,0.0,0.875006,525,0.991684,36.141197,,0.021168,0.069962,0.001053,0.0,0.0,,29.078011
Coverage-U,comm_limited,1,1000,,,,1,0.0,0.306475,2838.0,70.126316,,original,5.0,0.05,6,,1526,918,random,0.0,,0.798958,0.0,0.851263,825,0.985895,37.795743,,0.020505,0.078198,0.008737,0.0,0.0,,30.979386
Coverage-U,comm_limited,0,0,,,,1,0.0,0.344056,3199.0,66.326316,,original,5.0,0.05,6,,1379,946,random,0.0,,0.777813,0.0,0.870017,725,0.983684,37.013385,,0.021847,0.079128,0.005053,0.0,0.0,,32.332596
Coverage-U,comm_limited,5,5000,,,,1,0.0,0.320841,2976.0,68.673684,,original,5.0,0.05,6,,584,533,random,0.0,,0.724688,0.0,0.900157,375,0.996105,36.836303,,0.017218,0.064839,0.001579,0.0,0.0,,27.985812
Coverage-U,comm_limited,4,4000,,,,1,0.0,0.308974,2862.0,69.873684,,original,5.0,0.05,6,,1116,745,random,0.0,,0.773125,0.0,0.867419,350,0.939579,37.780243,,0.026159,0.088866,0.053053,0.0,0.0,,32.014979
Coverage-U,comm_limited,7,7000,,,,1,0.0,0.326046,3026.0,68.147368,,original,5.0,0.05,6,,1081,777,random,0.0,,0.78,0.0,0.869111,550,0.974842,37.123954,,0.021425,0.075731,0.021158,0.0,0.0,,31.519883
Coverage-U,comm_limited,6,6000,,,,1,0.0,0.404122,2294.934094,60.252632,,original,5.0,0.05,6,,1811,985,random,0.0,,0.780833,0.0,0.766951,,0.892105,34.433678,,0.026225,0.081526,0.099368,0.0,0.0,,35.372473
Coverage-U,comm_limited,8,8000,,,,1,0.0,0.403602,3048.563218,60.305263,,original,5.0,0.05,6,,722,557,random,0.0,,0.751875,0.0,0.830626,675,0.978421,34.00649,,0.017455,0.064906,0.008737,0.0,0.0,,30.012976
Coverage-U,comm_limited,9,9000,,,,1,0.0,0.325318,3019.0,68.221053,,original,5.0,0.05,6,,734,578,random,0.0,,0.748646,0.0,0.87224,550,0.990526,36.984997,,0.016033,0.068211,0.002737,0.0,0.0,,29.931443
Coverage-U,comm_limited,10,10000,,,,1,0.0,0.364772,3398.0,64.231579,,original,5.0,0.05,6,,1124,984,random,0.0,,0.742396,0.0,0.818881,750,0.981158,33.605125,,0.0237,0.080738,0.009053,0.0,0.0,,29.360684
Coverage-U,comm_limited,11,11000,,,,1,0.0,0.314699,2917.0,69.294737,,original,5.0,0.05,6,,1342,718,random,0.0,,0.740208,0.0,0.816744,925,0.993368,36.176451,,0.019016,0.072055,0.002632,0.0,0.0,,34.218416
Coverage-U,comm_limited,13,13000,,,,1,0.0,0.375286,3499.0,63.168421,,original,5.0,0.05,6,,1025,718,random,0.0,,0.720104,0.0,0.887996,450,0.994211,33.159556,,0.021816,0.077661,0.000105,0.0,0.0,,30.582774
Coverage-U,comm_limited,12,12000,,,,1,0.0,0.355923,3313.0,65.126316,,original,5.0,0.05,6,,1801,954,random,0.0,,0.785417,0.0,0.871505,600,0.989474,34.531398,,0.023857,0.084868,0.002316,0.0,0.0,,34.153012
Coverage-U,comm_limited,14,14000,,,,1,0.0,0.357797,2842.363636,64.936842,,original,5.0,0.05,6,,811,565,random,0.0,,0.729062,0.0,0.893632,400,0.977789,33.75224,,0.022312,0.074311,0.015579,0.0,0.0,,30.185018
Coverage-U,comm_limited,15,15000,,,,1,0.0,0.32792,3044.0,67.957895,,original,5.0,0.05,6,,975,692,random,0.0,,0.640521,0.0,0.855983,550,0.993368,31.852724,,0.018325,0.061555,0.003263,0.0,0.0,,29.519679
Coverage-U,comm_limited,18,18000,,,,1,0.0,0.315532,2925.0,69.210526,,original,5.0,0.05,6,,635,545,random,0.0,,0.738854,0.0,0.856203,925,0.990421,35.614516,,0.016221,0.063582,0.005053,0.0,0.0,,28.513278
Coverage-U,comm_limited,17,17000,,,,1,0.0,0.381636,3189.932025,62.526316,,original,5.0,0.05,6,,1234,823,random,0.0,,0.784167,0.0,0.857722,425,0.982947,34.927783,,0.021465,0.087761,0.009053,0.0,0.0,,32.28939
Coverage-U,comm_limited,16,16000,,,,1,0.0,0.363731,2856.66691,64.336842,,original,5.0,0.05,6,,1348,821,random,0.0,,0.770208,0.0,0.838013,1125,0.968211,35.163138,,0.023012,0.078759,0.022632,0.0,0.0,,33.013619
Coverage-U,comm_limited,19,19000,,,,1,0.0,0.310223,2874.0,69.747368,,original,5.0,0.05,6,,932,682,random,0.0,,0.796458,0.0,0.84291,725,0.995789,37.938809,,0.018779,0.074796,0.000211,0.0,0.0,,28.473955
Coverage-U,comm_limited,20,20000,,,,1,0.0,0.357693,3330.0,64.947368,,original,5.0,0.05,6,,880,747,random,0.0,,0.779375,0.0,0.837968,1075,0.987263,35.080145,,0.019525,0.071816,0.006737,0.0,0.0,,28.88287
Coverage-U,comm_limited,22,22000,,,,1,0.0,0.269831,2486.0,73.831579,,original,5.0,0.05,6,,804,659,random,0.0,,0.734375,0.0,0.903017,375,0.997579,40.691092,,0.014256,0.063719,0.000526,0.0,0.0,,29.12966
Coverage-U,comm_limited,21,21000,,,,1,0.0,0.304809,2822.0,70.294737,,original,5.0,0.05,6,,1037,694,random,0.0,,0.740313,0.0,0.873188,500,0.997474,36.497862,,0.015306,0.070834,0.000947,0.0,0.0,,31.618232
Coverage-U,comm_limited,23,23000,,,,1,0.0,0.372788,3475.0,63.421053,,original,5.0,0.05,6,,870,704,random,0.0,,0.737812,0.0,0.817113,875,0.986842,35.897898,,0.015571,0.060916,0.011263,0.0,0.0,,28.25911
Coverage-U,comm_limited,24,24000,,,,1,0.0,0.388924,2131.35007,61.789474,,original,5.0,0.05,6,,802,577,random,0.0,,0.715,0.0,0.83688,1050,0.967579,33.945546,,0.018689,0.064057,0.024316,0.0,0.0,,28.105418
Coverage-U,comm_limited,25,25000,,,,1,0.0,0.316885,2938.0,69.073684,,original,5.0,0.05,6,,904,798,random,0.0,,0.752708,0.0,0.906675,350,0.994842,39.728599,,0.015605,0.069311,0.003263,0.0,0.0,,29.434295
Coverage-U,comm_limited,27,27000,,,,1,0.0,0.379763,2701.190488,62.715789,,original,5.0,0.05,6,,432,426,random,0.0,,0.737812,0.0,0.890678,450,0.996842,36.101125,,0.017187,0.062512,0.000737,0.0,0.0,,26.647607
Coverage-U,comm_limited,26,26000,,,,1,0.0,0.374766,3021.385942,63.221053,,original,5.0,0.05,6,,1381,890,random,0.0,,0.753854,0.0,0.867398,775,0.973263,36.038,,0.022165,0.073998,0.019684,0.0,0.0,,34.741886
Coverage-U,comm_limited,28,28000,,,,1,0.0,0.375599,3191.491989,63.136842,,original,5.0,0.05,6,,783,498,random,0.0,,0.6825,0.0,0.87015,500,0.997579,33.567658,,0.017128,0.062303,0.0,0.0,0.0,,31.944169
Coverage-U,comm_limited,30,30000,,,,1,0.0,0.368936,3438.0,63.810526,,original,5.0,0.05,6,,850,517,random,0.0,,0.641458,0.0,0.869301,475,0.997895,33.522283,,0.01465,0.058161,0.0,0.0,0.0,,32.702628
Coverage-U,comm_limited,29,29000,,,,1,0.0,0.325422,3020.0,68.210526,,original,5.0,0.05,6,,1598,977,random,0.0,,0.718854,0.0,0.850879,675,0.997789,34.463954,,0.016142,0.069857,0.0,0.0,0.0,,34.780747
Coverage-U,comm_limited,31,31000,,,,1,0.0,0.338851,3149.0,66.852632,,original,5.0,0.05,6,,1888,993,random,0.0,,0.751458,0.0,0.828673,1050,0.957895,35.405773,,0.018243,0.080997,0.036737,0.0,0.0,,37.335609
Coverage-U,comm_limited,32,32000,,,,1,0.0,0.361128,3363.0,64.6,,original,5.0,0.05,6,,1558,940,random,0.0,,0.802292,0.0,0.902395,275,0.987158,38.06978,,0.02109,0.070535,0.005895,0.0,0.0,,33.950679
Coverage-U,comm_limited,33,33000,,,,1,0.0,0.304809,2822.0,70.294737,,original,5.0,0.05,6,,1195,861,random,0.0,,0.769583,0.0,0.799004,900,0.996105,37.822092,,0.023244,0.084172,0.000316,0.0,0.0,,29.933799
Coverage-U,comm_limited,34,34000,,,,1,0.0,0.359983,3352.0,64.715789,,original,5.0,0.05,6,,1698,712,random,0.0,,0.663958,0.0,0.862112,625,0.996421,32.929072,,0.016534,0.053963,0.000211,0.0,0.0,,37.620024
Coverage-U,comm_limited,35,35000,,,,1,0.0,0.317302,2942.0,69.031579,,original,5.0,0.05,6,,1029,802,random,0.0,,0.738437,0.0,0.861446,575,0.996632,36.362901,,0.019789,0.064643,0.001895,0.0,0.0,,29.533053
Coverage-U,comm_limited,36,36000,,,,1,0.0,0.358214,3064.801579,64.894737,,original,5.0,0.05,6,,814,692,random,0.0,,0.790833,0.0,0.840754,550,0.943895,34.318076,,0.02145,0.076554,0.050526,0.0,0.0,,28.287354
Coverage-U,comm_limited,37,37000,,,,1,0.0,0.371539,3463.0,63.547368,,original,5.0,0.05,6,,1049,693,random,0.0,,0.720104,0.0,0.827109,775,0.966737,35.562845,,0.020707,0.067819,0.025474,0.0,0.0,,30.92965
Coverage-U,comm_limited,38,38000,,,,1,0.0,0.230585,2109.0,77.8,,original,5.0,0.05,6,,947,678,random,0.0,,0.775208,0.0,0.879241,425,0.998211,39.514569,,0.014632,0.073283,0.0,0.0,0.0,,28.4305
Coverage-U,comm_limited,39,39000,,,,1,0.0,0.364147,2857.348768,64.294737,,original,5.0,0.05,6,,846,605,random,0.0,,0.713854,0.0,0.879831,550,0.990632,34.214901,,0.01818,0.065161,0.002842,0.0,0.0,,26.970145
