method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,maze_loop_density,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Coverage-U,comm_limited,24,24000,,,,1,0.0,0.340414,3166.0,66.673684,,original,5.0,0.05,3,,382,376,random,0.0,,0.775729,0.0,0.902373,700,0.995158,36.225048,,0.018294,0.069234,0.001368,0.0,0.0,,25.861611
Coverage-U,comm_limited,25,25000,,,,1,0.0,0.245444,2254.0,76.273684,,original,5.0,0.05,3,,546,546,random,0.0,,0.8325,0.0,0.826092,2200,0.943579,41.040627,,0.017996,0.077527,0.053263,0.0,0.0,,26.290577
Coverage-U,comm_limited,27,27000,,,,1,0.0,0.355722,2598.753584,65.126316,,original,5.0,0.05,3,,608,583,random,0.0,,0.782604,0.0,0.87109,950,0.981053,35.838937,,0.021588,0.074038,0.011579,0.0,0.0,,26.079804
Coverage-U,comm_limited,26,26000,,,,1,0.0,0.380714,2413.065364,62.6,,original,5.0,0.05,3,,575,492,random,0.0,,0.799583,0.0,0.855259,850,0.989895,35.876227,,0.026336,0.065654,0.000947,0.0,0.0,,28.215448
Coverage-U,comm_limited,28,28000,,,,1,0.0,0.313444,2907.0,69.4,,original,5.0,0.05,3,,75,75,random,0.0,,0.778021,0.0,0.891153,825,0.998421,38.084832,,0.019451,0.055501,0.000105,0.0,0.0,,25.877513
Coverage-U,comm_limited,30,30000,,,,1,0.0,0.270436,2494.0,73.747368,,original,5.0,0.05,3,,590,590,random,0.0,,0.751875,0.0,0.866305,750,0.995158,36.314541,,0.015536,0.066678,0.001684,0.0,0.0,,28.443929
Coverage-U,comm_limited,31,31000,,,,1,0.0,0.2015,1832.0,80.715789,,original,5.0,0.05,3,,854,736,random,0.0,,0.843021,0.0,0.846868,1825,0.998316,42.063604,,0.01561,0.075276,0.000211,0.0,0.0,,28.080987
Coverage-U,comm_limited,29,29000,,,,1,0.0,0.24409,2241.0,76.410526,,original,5.0,0.05,3,,1079,791,random,0.0,,0.846146,0.0,0.828519,2650,0.998316,40.744645,,0.017081,0.072221,0.0,0.0,0.0,,31.435949
Coverage-U,comm_limited,32,32000,,,,1,0.0,0.309382,2868.0,69.810526,,original,5.0,0.05,3,,256,256,random,0.0,,0.730521,0.0,0.861865,750,0.992211,35.115544,,0.022024,0.069313,0.000737,0.0,0.0,,27.494541
Coverage-U,comm_limited,33,33000,,,,1,0.0,0.356243,2931.753113,65.073684,,original,5.0,0.05,3,,562,562,random,0.0,,0.8075,0.0,0.869786,1200,0.966947,37.316824,,0.022009,0.086568,0.021895,0.0,0.0,,28.123261
Coverage-U,comm_limited,34,34000,,,,1,0.0,0.271686,2506.0,73.621053,,original,5.0,0.05,3,,413,403,random,0.0,,0.825625,0.0,0.898792,550,0.998316,38.686804,,0.016649,0.073395,0.0,0.0,0.0,,27.962698
Coverage-U,comm_limited,35,35000,,,,1,0.0,0.370197,3452.0,63.663158,,original,5.0,0.05,3,,273,273,random,0.0,,0.794896,0.0,0.82085,2050,0.991474,35.702535,,0.020135,0.056595,0.0,0.0,0.0,,27.263772
Coverage-U,comm_limited,36,36000,,,,1,0.0,0.220452,2014.0,78.8,,original,5.0,0.05,3,,357,357,random,0.0,,0.748229,0.0,0.869058,875,0.994526,38.569877,,0.013113,0.064624,0.004737,0.0,0.0,,27.006483
Coverage-U,comm_limited,37,37000,,,,1,0.0,0.343538,2918.305681,66.357895,,original,5.0,0.05,3,,376,376,random,0.0,,0.8075,0.0,0.883795,750,0.997474,36.782212,,0.019977,0.066348,0.000211,0.0,0.0,,26.966188
Coverage-U,comm_limited,38,38000,,,,1,0.0,0.262939,2422.0,74.505263,,original,5.0,0.05,3,,454,454,random,0.0,,0.839583,0.0,0.910869,500,0.992316,39.804969,,0.01992,0.074112,0.004526,0.0,0.0,,26.584442
Coverage-U,comm_limited,39,39000,,,,1,0.0,0.350515,3263.0,65.652632,,original,5.0,0.05,3,,556,554,random,0.0,,0.824688,0.0,0.866177,1650,0.993368,39.618273,,0.023662,0.065809,0.001158,0.0,0.0,,27.278124
