step,ambiguous_frac
0,0.00000000
1,0.03610526
2,0.03252632
3,0.02263158
4,0.02136842
5,0.02084211
6,0.02115789
7,0.02221053
8,0.02200000
9,0.02336842
10,0.02284211
11,0.02273684
12,0.02242105
13,0.02242105
14,0.02252632
15,0.02284211
16,0.02273684
17,0.02273684
18,0.02305263
19,0.02284211
20,0.02294737
21,0.02294737
22,0.02357895
23,0.02336842
24,0.02463158
25,0.02431579
26,0.02442105
27,0.02463158
28,0.02473684
29,0.02463158
30,0.02442105
31,0.02410526
32,0.02357895
33,0.02421053
34,0.02421053
35,0.02452632
36,0.02547368
37,0.02642105
38,0.02621053
39,0.02610526
40,0.02600000
41,0.02526316
42,0.02578947
43,0.02578947
44,0.02642105
45,0.02600000
46,0.02578947
47,0.02547368
48,0.02610526
49,0.02642105
50,0.02663158
51,0.02673684
52,0.02663158
53,0.02652632
54,0.02642105
55,0.02652632
56,0.02473684
57,0.02126316
58,0.02073684
59,0.02063158
60,0.02052632
61,0.02147368
62,0.02168421
63,0.02221053
64,0.02242105
65,0.02252632
66,0.02263158
67,0.02252632
68,0.02221053
69,0.02389474
70,0.02526316
71,0.02610526
72,0.02610526
73,0.02631579
74,0.02642105
75,0.02631579
76,0.02631579
77,0.02652632
78,0.02673684
79,0.02673684
80,0.02642105
81,0.02631579
82,0.02642105
83,0.02642105
84,0.02631579
85,0.02589474
86,0.02578947
87,0.02652632
88,0.02684211
89,0.02694737
90,0.02726316
91,0.02694737
92,0.02705263
93,0.02684211
94,0.02747368
95,0.02768421
96,0.02810526
97,0.02778947
98,0.02852632
99,0.02810526
100,0.02873684
101,0.02873684
102,0.02957895
103,0.02947368
104,0.03010526
105,0.03052632
106,0.03031579
107,0.03021053
108,0.03000000
109,0.02989474
110,0.03000000
111,0.03000000
112,0.03010526
113,0.03010526
114,0.03021053
115,0.03042105
116,0.03042105
117,0.03052632
118,0.03000000
119,0.03073684
120,0.03063158
121,0.03084211
122,0.03073684
123,0.03052632
124,0.03031579
125,0.03052632
126,0.03094737
127,0.03105263
128,0.03052632
129,0.02926316
130,0.02863158
131,0.02842105
132,0.02778947
133,0.02873684
134,0.02810526
135,0.02810526
136,0.02842105
137,0.02831579
138,0.02884211
139,0.02873684
140,0.02989474
141,0.03094737
142,0.03189474
143,0.03189474
144,0.03105263
145,0.03031579
146,0.02936842
147,0.02926316
148,0.02905263
149,0.02873684
150,0.02863158
151,0.02884211
152,0.02926316
153,0.02884211
154,0.02810526
155,0.02705263
156,0.02800000
157,0.02905263
158,0.02957895
159,0.03000000
160,0.03010526
161,0.03021053
162,0.02936842
163,0.02842105
164,0.02778947
165,0.02694737
166,0.02705263
167,0.02684211
168,0.02547368
169,0.02494737
170,0.02547368
171,0.02652632
172,0.02673684
173,0.02578947
174,0.02589474
175,0.02673684
176,0.02610526
177,0.02568421
178,0.02600000
179,0.02589474
180,0.02694737
181,0.02684211
182,0.02684211
183,0.02705263
184,0.02715789
185,0.02715789
186,0.02705263
187,0.02705263
188,0.02715789
189,0.02789474
190,0.02884211
191,0.02947368
192,0.02957895
193,0.02947368
194,0.02915789
195,0.03042105
196,0.02989474
197,0.03031579
198,0.02894737
199,0.02863158
200,0.02831579
201,0.02821053
202,0.02789474
203,0.02768421
204,0.02736842
205,0.02726316
206,0.02726316
207,0.02715789
208,0.02726316
209,0.02705263
210,0.02747368
211,0.02778947
212,0.02768421
213,0.02831579
214,0.02810526
215,0.02789474
216,0.02757895
217,0.02736842
218,0.02736842
219,0.02705263
220,0.02673684
221,0.02652632
