method,info_model,run,env_seed,steps_90,steps_95,steps_99,censored,success_90,overlap,final_U,final_coverage,alpha_mean,chao_version,fov_radius,obstacle_ratio,num_agents,comm_range,fusion_events,rendezvous_steps,topology,maze_loop_density,alpha_sat_frac,fallback_frac,random_walk_frac,quality_auc,time_to_quality,quality_final,coverage_auc,steps_dual,mean_bound_final,cluster_cap_hit_frac,undetermined_final,deploy_frac,orbit_frac,hybrid_ra_frac,wall_time_s
Coverage-U,comm_limited,1,1000,,,,1,0.0,0.301686,2792.0,70.610526,,original,5.0,0.05,6,,666,569,random,0.0,,0.663542,0.0,0.874265,475,0.990737,37.042382,,0.01589,0.493802,0.008316,0.0,0.0,,35.706386
Coverage-U,comm_limited,2,2000,,,,1,0.0,0.334791,3110.0,67.263158,,original,5.0,0.05,6,,897,709,random,0.0,,0.758542,0.0,0.899138,375,0.992421,37.474447,,0.020304,0.525043,0.003368,0.0,0.0,,36.08255
Coverage-U,comm_limited,3,3000,,,,1,0.0,0.264626,2436.0,74.357895,,original,5.0,0.05,6,,1543,796,random,0.0,,0.788854,0.0,0.863674,550,0.957684,40.059434,,0.019785,0.535269,0.036842,0.0,0.0,,42.999505
Coverage-U,comm_limited,0,0,,,,1,0.0,0.330627,3070.0,67.684211,,original,5.0,0.05,6,,1510,814,random,0.0,,0.755833,0.0,0.887799,400,0.984526,38.378461,,0.019554,0.519506,0.009684,0.0,0.0,,43.146288
Coverage-U,comm_limited,5,5000,,,,1,0.0,0.331668,3080.0,67.578947,,original,5.0,0.05,6,,950,794,random,0.0,,0.774479,0.0,0.85909,425,0.987474,34.757757,,0.024892,0.54122,0.009368,0.0,0.0,,36.687014
Coverage-U,comm_limited,6,6000,,,,1,0.0,0.353009,3285.0,65.421053,,original,5.0,0.05,6,,420,352,random,0.0,,0.693646,0.0,0.893098,425,0.997368,37.239339,,0.015755,0.486298,0.001053,0.0,0.0,,33.411993
Coverage-U,comm_limited,7,7000,,,,1,0.0,0.408495,2582.998564,59.810526,,original,5.0,0.05,6,,385,272,random,0.0,,0.712292,0.0,0.91566,275,0.998947,36.606237,,0.015388,0.514554,0.0,0.0,0.0,,34.185346
Coverage-U,comm_limited,4,4000,,,,1,0.0,0.33021,3066.0,67.726316,,original,5.0,0.05,6,,1542,1046,random,0.0,,0.717292,0.0,0.908036,400,0.992211,38.989066,,0.01896,0.51804,0.003789,0.0,0.0,,42.04768
Coverage-U,comm_limited,8,8000,,,,1,0.0,0.364356,3053.75625,64.273684,,original,5.0,0.05,6,,849,633,random,0.0,,0.791875,0.0,0.891981,300,0.991895,36.822178,,0.021585,0.551848,0.0,0.0,0.0,,37.474119
Coverage-U,comm_limited,11,11000,,,,1,0.0,0.373829,2451.526573,63.315789,,original,5.0,0.05,6,,731,542,random,0.0,,0.710313,0.0,0.880247,375,0.989895,34.209687,,0.017938,0.511923,0.005053,0.0,0.0,,37.734326
Coverage-U,comm_limited,9,9000,,,,1,0.0,0.399021,3727.0,60.768421,,original,5.0,0.05,6,,928,599,random,0.0,,0.728229,0.0,0.847257,575,0.949263,32.516793,,0.019158,0.50205,0.043789,0.0,0.0,,39.095786
Coverage-U,comm_limited,10,10000,,,,1,0.0,0.235166,2153.0,77.336842,,original,5.0,0.05,6,,1333,863,random,0.0,,0.782813,0.0,0.867674,450,0.989158,40.396734,,0.014468,0.529574,0.010211,0.0,0.0,,40.596021
Coverage-U,comm_limited,12,12000,,,,1,0.0,0.304705,2821.0,70.305263,,original,5.0,0.05,6,,870,730,random,0.0,,0.804375,0.0,0.82381,1150,0.997158,38.860352,,0.01887,0.545489,0.000947,0.0,0.0,,35.852577
Coverage-U,comm_limited,13,13000,,,,1,0.0,0.331668,3080.0,67.578947,,original,5.0,0.05,6,,540,531,random,0.0,,0.760417,0.0,0.898521,325,0.985789,37.229322,,0.019595,0.538657,0.008947,0.0,0.0,,34.850387
Coverage-U,comm_limited,14,14000,,,,1,0.0,0.375286,3478.010315,63.168421,,original,5.0,0.05,6,,741,574,random,0.0,,0.685625,0.0,0.845267,550,0.991895,32.62847,,0.019728,0.48561,0.003368,0.0,0.0,,37.253974
Coverage-U,comm_limited,15,15000,,,,1,0.0,0.339371,3154.0,66.8,,original,5.0,0.05,6,,789,692,random,0.0,,0.825104,0.0,0.835846,1000,0.977579,36.801526,,0.030071,0.588172,0.013789,0.0,0.0,,36.140878
Coverage-U,comm_limited,16,16000,,,,1,0.0,0.205809,1871.0,80.305263,,original,5.0,0.05,6,,1360,823,random,0.0,,0.758542,0.0,0.894981,350,0.997789,40.820865,,0.015967,0.522777,0.001158,0.0,0.0,,43.213706
